Hist,Dog,Group,Time
0.2,1,1,1
0.06,2,1,1
1.4,3,1,1
0.57,4,1,1
0.1,1,1,2
0.02,2,1,2
0.48,3,1,2
0.35,4,1,2
0.08,1,1,3
0.02,2,1,3
0.24,3,1,3
0.24,4,1,3
0.09,5,2,1
0.11,6,2,1
0.07,7,2,1
0.07,8,2,1
0.13,5,2,2
0.1,6,2,2
0.07,7,2,2
0.06,8,2,2
0.14,5,2,3
0.09,6,2,3
0.07,7,2,3
0.07,8,2,3
0.62,9,3,1
1.05,10,3,1
0.83,11,3,1
3.13,12,3,1
0.31,9,3,2
0.73,10,3,2
1.07,11,3,2
2.06,12,3,2
0.22,9,3,3
0.6,10,3,3
0.8,11,3,3
1.23,12,3,3
0.09,13,4,1
0.09,14,4,1
0.1,15,4,1
0.05,16,4,1
0.09,13,4,2
0.09,14,4,2
0.12,15,4,2
0.05,16,4,2
0.08,13,4,3
0.1,14,4,3
0.12,15,4,3
0.05,16,4,3
